Country,Code,Year,Month,Consumer Price Index (CPI),Inflation monthly percent change in the CPI,Inflation annual percent change in the CPI
Ukraine,UKR,1992,1,0,,
Ukraine,UKR,1992,2,0,15.3,
Ukraine,UKR,1992,3,0,12.1,
Ukraine,UKR,1992,4,0,7.6,
Ukraine,UKR,1992,5,0,14.4,
Ukraine,UKR,1992,6,0,26.5,
Ukraine,UKR,1992,7,0,22.1,
Ukraine,UKR,1992,8,0,8.3,
Ukraine,UKR,1992,9,0.01,10.6,
Ukraine,UKR,1992,10,0.01,12.4,
Ukraine,UKR,1992,11,0.01,22,
Ukraine,UKR,1992,12,0.01,35.1,
Ukraine,UKR,1993,1,0.02,73.2,844.48
Ukraine,UKR,1993,2,0.02,28.8,955.07
Ukraine,UKR,1993,3,0.03,22.1,1049.19
Ukraine,UKR,1993,4,0.03,23.6,1220.06
Ukraine,UKR,1993,5,0.04,27.6,1372.38
Ukraine,UKR,1993,6,0.07,71.7,1898.48
Ukraine,UKR,1993,7,0.1,37.6,2152.17
Ukraine,UKR,1993,8,0.12,21.7,2430.84
Ukraine,UKR,1993,9,0.21,80.3,4025.76
Ukraine,UKR,1993,10,0.35,66.1,5996.9
Ukraine,UKR,1993,11,0.5,45.3,7161.29
Ukraine,UKR,1993,12,0.96,90.8,10155.03
Ukraine,UKR,1994,1,1.15,19.2,6957.73
Ukraine,UKR,1994,2,1.29,12.6,6070.04
Ukraine,UKR,1994,3,1.36,5.7,5241.31
Ukraine,UKR,1994,4,1.45,6,4480.73
Ukraine,UKR,1994,5,1.52,5.2,3676.59
Ukraine,UKR,1994,6,1.58,3.9,2185.31
Ukraine,UKR,1994,7,1.61,2.1,1595.71
Ukraine,UKR,1994,8,1.66,2.6,1329.58
Ukraine,UKR,1994,9,1.78,7.3,750.77
Ukraine,UKR,1994,10,2.18,22.6,527.96
Ukraine,UKR,1994,11,3.75,72.3,644.65
Ukraine,UKR,1994,12,4.82,28.4,401.12
Ukraine,UKR,1995,1,5.84,21.2,409.53
Ukraine,UKR,1995,2,6.9,18.1,434.41
Ukraine,UKR,1995,3,7.69,11.4,463.23
Ukraine,UKR,1995,4,8.13,5.8,462.17
Ukraine,UKR,1995,5,8.51,4.6,458.96
Ukraine,UKR,1995,6,8.91,4.8,463.81
Ukraine,UKR,1995,7,9.38,5.2,480.92
Ukraine,UKR,1995,8,9.81,4.6,492.25
Ukraine,UKR,1995,9,11.2,14.2,530.33
Ukraine,UKR,1995,10,12.22,9.1,460.93
Ukraine,UKR,1995,11,12.98,6.2,245.74
Ukraine,UKR,1995,12,13.58,4.6,181.65
Ukraine,UKR,1996,1,14.85,9.4,154.23
Ukraine,UKR,1996,2,15.95,7.4,131.2
Ukraine,UKR,1996,3,16.43,3,113.76
Ukraine,UKR,1996,4,16.82,2.4,106.89
Ukraine,UKR,1996,5,16.94,0.7,99.18
Ukraine,UKR,1996,6,16.96,0.1,90.25
Ukraine,UKR,1996,7,16.99,0.2,81.2
Ukraine,UKR,1996,8,17.96,5.7,83.11
Ukraine,UKR,1996,9,18.32,2,63.55
Ukraine,UKR,1996,10,18.6,1.5,52.16
Ukraine,UKR,1996,11,18.82,1.2,44.99
Ukraine,UKR,1996,12,18.99,0.9,39.86
Ukraine,UKR,1997,1,19.41,2.2,30.66
Ukraine,UKR,1997,2,19.64,1.2,23.12
Ukraine,UKR,1997,3,19.66,0.1,19.65
Ukraine,UKR,1997,4,19.82,0.8,17.78
