Country,Code,Year,Month,Economic (GDP) growth percent,Industrial production annual percent change,Retail sales Y-on-Y,House price index,Building permits,Real residential property prices Y-on-Y percent change,Business confidence survey
Ukraine,UKR,2002,1,,,,,,,
Ukraine,UKR,2002,2,,,,,,,
Ukraine,UKR,2002,3,5.8,,,,,,
Ukraine,UKR,2002,4,,,,,,,
Ukraine,UKR,2002,5,,,,,,,
Ukraine,UKR,2002,6,4.8,,,,,,
Ukraine,UKR,2002,7,,,,,,,
Ukraine,UKR,2002,8,,,,,,,
Ukraine,UKR,2002,9,4.9,,,,,,
Ukraine,UKR,2002,10,,,,,,,
Ukraine,UKR,2002,11,,,,,,,
Ukraine,UKR,2002,12,5.6,,,,,,
Ukraine,UKR,2003,1,,12.58,,,,,
Ukraine,UKR,2003,2,,10.25,,,,,
Ukraine,UKR,2003,3,9.3,11.59,,,,,
Ukraine,UKR,2003,4,,13.92,,,,,
Ukraine,UKR,2003,5,,13.54,,,,,
Ukraine,UKR,2003,6,11.4,17.22,,,,,
Ukraine,UKR,2003,7,,22.17,,,,,
Ukraine,UKR,2003,8,,19.37,,,,,
Ukraine,UKR,2003,9,5.7,19.49,,,,,
Ukraine,UKR,2003,10,,18.04,,,,,
Ukraine,UKR,2003,11,,14.08,,,,,
Ukraine,UKR,2003,12,12.3,18.41,,,,,
Ukraine,UKR,2004,1,,16.13,,,,,
Ukraine,UKR,2004,2,,18.97,,,,,
Ukraine,UKR,2004,3,13.1,19.57,,,,,
Ukraine,UKR,2004,4,,14.07,,,,,
Ukraine,UKR,2004,5,,13.74,,,,,
Ukraine,UKR,2004,6,12.7,11.77,,,,,
Ukraine,UKR,2004,7,,9.95,,,,,
Ukraine,UKR,2004,8,,9.83,,,,,
Ukraine,UKR,2004,9,14,9.74,,,,,
Ukraine,UKR,2004,10,,6.92,,,,,
Ukraine,UKR,2004,11,,10.62,,,,,
Ukraine,UKR,2004,12,9,4.35,,,,,
Ukraine,UKR,2005,1,,9.12,,,,,
Ukraine,UKR,2005,2,,5.53,,,,,
Ukraine,UKR,2005,3,5.1,6.81,,,,,
Ukraine,UKR,2005,4,,4.87,,,,,
Ukraine,UKR,2005,5,,3.27,,,,,
Ukraine,UKR,2005,6,3.7,-1.23,,,,,
Ukraine,UKR,2005,7,,-2.72,,,,,
Ukraine,UKR,2005,8,,0.5,,,,,
Ukraine,UKR,2005,9,1.6,0.41,,,,,
Ukraine,UKR,2005,10,,1.68,,,,,
Ukraine,UKR,2005,11,,2.03,,,,,
Ukraine,UKR,2005,12,2.3,5.3,,,,,
Ukraine,UKR,2006,1,,-2.84,,,,,
Ukraine,UKR,2006,2,,-0.37,,,,,
Ukraine,UKR,2006,3,4.8,-0.55,,,,,
Ukraine,UKR,2006,4,,-2.1,,,,,
Ukraine,UKR,2006,5,,4.24,,,,,
Ukraine,UKR,2006,6,7.1,6.11,,,,,
Ukraine,UKR,2006,7,,7.09,,,,,
Ukraine,UKR,2006,8,,4.6,,,,,
Ukraine,UKR,2006,9,7.5,1.09,,,,,
Ukraine,UKR,2006,10,,1.57,,,,,
Ukraine,UKR,2006,11,,7.13,,,,,
Ukraine,UKR,2006,12,9.7,9.66,,,,,
Ukraine,UKR,2007,1,,11.7,,,,,
Ukraine,UKR,2007,2,,7.8,26.5,,,,
Ukraine,UKR,2007,3,10.6,6.9,29,,,,
Ukraine,UKR,2007,4,,9.2,26.4,,,,
Ukraine,UKR,2007,5,,5.5,24.5,,,,
Ukraine,UKR,2007,6,9.7,7,25,,,,
Ukraine,UKR,2007,7,,5.6,32.9,,,,
Ukraine,UKR,2007,8,,9.5,30.7,,,,
Ukraine,UKR,2007,9,4.4,5.3,29.7,,,,
Ukraine,UKR,2007,10,,13.9,29.9,,,,
Ukraine,UKR,2007,11,,4,29.6,,,,
Ukraine,UKR,2007,12,6.9,0.3,27.6,,,,
Ukraine,UKR,2008,1,,5,28.1,,,,
Ukraine,UKR,2008,2,,7.2,32,,,,
Ukraine,UKR,2008,3,8.5,2.3,24.7,,,,
Ukraine,UKR,2008,4,,2.8,27.8,,,,
Ukraine,UKR,2008,5,,4.8,24,,,,
Ukraine,UKR,2008,6,6.2,0.8,23.5,,,,
Ukraine,UKR,2008,7,,2.9,20.1,,,,
Ukraine,UKR,2008,8,,-3.3,18.4,,,,
Ukraine,UKR,2008,9,4.3,-1.5,19.2,,,,
Ukraine,UKR,2008,10,,-21.1,16,,,,
Ukraine,UKR,2008,11,,-27.3,16,,,,
Ukraine,UKR,2008,12,-7.8,-24.3,2,,,,
Ukraine,UKR,2009,1,,-30.8,-7.8,,,,
Ukraine,UKR,2009,2,,-27.8,-14.1,,,,
Ukraine,UKR,2009,3,-19.6,-26.6,-16.9,,,,
Ukraine,UKR,2009,4,,-28.5,-20,,,,
Ukraine,UKR,2009,5,,-29.3,-20.5,,,,
Ukraine,UKR,2009,6,-17.3,-26.5,-20.9,,,,
Ukraine,UKR,2009,7,,-25.3,-21.5,,,,
Ukraine,UKR,2009,8,,-23.6,-21.1,,,,
Ukraine,UKR,2009,9,-15.7,-19.6,-22,,,,
Ukraine,UKR,2009,10,,-8.1,-22.8,,,,
Ukraine,UKR,2009,11,,5,-18.4,,,,
Ukraine,UKR,2009,12,-6.7,5.3,-20.6,,,,
Ukraine,UKR,2010,1,,13.2,-5.5,,,,
Ukraine,UKR,2010,2,,8.3,-5.3,,,,
Ukraine,UKR,2010,3,4.5,13.8,0.6,,,,
Ukraine,UKR,2010,4,,17.6,1.2,,,,
Ukraine,UKR,2010,5,,15.1,6.2,,,,
Ukraine,UKR,2010,6,5.4,13,9.2,,,,
Ukraine,UKR,2010,7,,8.6,9.2,,,,
Ukraine,UKR,2010,8,,10.4,9.7,,,,
Ukraine,UKR,2010,9,3.3,11.2,10.4,,,,
Ukraine,UKR,2010,10,,10.3,10.7,,,,
Ukraine,UKR,2010,11,,11.2,17.8,,,,
Ukraine,UKR,2010,12,3.7,11.9,14.7,,,,
Ukraine,UKR,2011,1,,9.6,11.1,,,,
Ukraine,UKR,2011,2,,10.5,12.8,,,,
Ukraine,UKR,2011,3,5.5,8.9,13.3,,,,
Ukraine,UKR,2011,4,,5.7,15.3,,,,
Ukraine,UKR,2011,5,,9.1,14.6,,,,
Ukraine,UKR,2011,6,4.4,7.8,13.3,,,,
Ukraine,UKR,2011,7,,9.3,13.5,,,,
Ukraine,UKR,2011,8,,10.4,15.4,,,,
Ukraine,UKR,2011,9,6.7,8.7,13.8,,,,
Ukraine,UKR,2011,10,,7.7,11.4,,,,
