Country,Code,Year,Month,Household consumption billion currency units,Consumption as percent of GDP,Consumption growth,Investment billion currency units,Investment as percent of GDP,Investment growth
Ukraine,UKR,2002,3,26.79,60.71,,7.66,17.35,
Ukraine,UKR,2002,6,28.97,57.81,,9.95,19.85,
Ukraine,UKR,2002,9,36.24,55.7,,11.78,18.11,
Ukraine,UKR,2002,12,36.78,55.31,,13.9,20.91,
Ukraine,UKR,2003,3,30.53,58.06,13.96,9.76,18.56,27.39
Ukraine,UKR,2003,6,33.76,55.52,16.5,12.85,21.14,29.21
Ukraine,UKR,2003,9,42.8,56.46,18.1,15.38,20.29,30.56
Ukraine,UKR,2003,12,43.71,55.93,18.83,17.08,21.86,22.89
Ukraine,UKR,2004,3,38.57,57.59,26.34,12.8,19.11,31.21
Ukraine,UKR,2004,6,42.29,53.79,25.27,17.96,22.85,39.76
Ukraine,UKR,2004,9,48.97,49.26,14.41,22.74,22.88,47.86
Ukraine,UKR,2004,12,55.12,55.05,26.12,24.31,24.28,42.31
Ukraine,UKR,2005,3,51.72,58.7,34.08,16.21,18.39,26.59
Ukraine,UKR,2005,6,60.02,59.01,41.94,22.47,22.1,25.11
Ukraine,UKR,2005,9,70.03,57,43.01,27.57,22.44,21.23
Ukraine,UKR,2005,12,75.58,58.69,37.12,30.72,23.85,26.34
Ukraine,UKR,2006,3,67.07,63.07,29.69,22.6,21.25,39.44
Ukraine,UKR,2006,6,76.73,60.74,27.83,30.78,24.37,36.96
Ukraine,UKR,2006,9,85.17,55.88,21.62,37.94,24.89,37.6
Ukraine,UKR,2006,12,95.59,60.09,26.47,42.56,26.75,38.56
Ukraine,UKR,2007,3,88.03,63.13,31.24,33.5,24.03,48.26
Ukraine,UKR,2007,6,98.86,59.24,28.85,45.54,27.29,47.95
Ukraine,UKR,2007,9,110.38,55.32,29.6,56.19,28.16,48.11
Ukraine,UKR,2007,12,132.36,61.59,38.47,63.12,29.37,48.3
Ukraine,UKR,2008,3,129.11,67.43,46.67,51.2,26.74,52.82
Ukraine,UKR,2008,6,139.14,58.95,40.75,64.76,27.44,42.21
Ukraine,UKR,2008,9,154.82,56,40.27,72.28,26.14,28.64
