Country,Code,Year,Month,Employment million people,Unemployment rate percent,Labor cost index,Minimum wage
Ukraine,UKR,1999,1,,,,
Ukraine,UKR,1999,2,,,,
Ukraine,UKR,1999,3,19.38,14,,
Ukraine,UKR,1999,4,,,,
Ukraine,UKR,1999,5,,,,
Ukraine,UKR,1999,6,20.14,11,,
Ukraine,UKR,1999,7,,,,
Ukraine,UKR,1999,8,,,,
Ukraine,UKR,1999,9,20.62,10.2,,
Ukraine,UKR,1999,10,,,,
Ukraine,UKR,1999,11,,,,
Ukraine,UKR,1999,12,19.85,12.4,,
Ukraine,UKR,2000,1,,,,
Ukraine,UKR,2000,2,,,,
Ukraine,UKR,2000,3,20.06,11.5,,
Ukraine,UKR,2000,4,,,,90
Ukraine,UKR,2000,5,,,,90
Ukraine,UKR,2000,6,20.61,11.5,,90
Ukraine,UKR,2000,7,,,,118
Ukraine,UKR,2000,8,,,,118
Ukraine,UKR,2000,9,20.73,11.7,,118
Ukraine,UKR,2000,10,,,,118
Ukraine,UKR,2000,11,,,,118
Ukraine,UKR,2000,12,20.13,12.2,,118
Ukraine,UKR,2001,1,,,,118
Ukraine,UKR,2001,2,,,,118
Ukraine,UKR,2001,3,20.01,12.1,,118
Ukraine,UKR,2001,4,,,,118
Ukraine,UKR,2001,5,,,,118
Ukraine,UKR,2001,6,20.52,10.6,,118
Ukraine,UKR,2001,7,,,,118
Ukraine,UKR,2001,8,,,,118
Ukraine,UKR,2001,9,20.63,10.3,,118
Ukraine,UKR,2001,10,,,,118
Ukraine,UKR,2001,11,,,,118
Ukraine,UKR,2001,12,19.9,11.2,,118
Ukraine,UKR,2002,1,,,,140
Ukraine,UKR,2002,2,,,,140
Ukraine,UKR,2002,3,19.78,10.5,,140
Ukraine,UKR,2002,4,,,,140
Ukraine,UKR,2002,5,,,,140
Ukraine,UKR,2002,6,20.25,9.6,,140
Ukraine,UKR,2002,7,,,,165
Ukraine,UKR,2002,8,,,,165
Ukraine,UKR,2002,9,20.43,9.1,,165
Ukraine,UKR,2002,10,,,,165
Ukraine,UKR,2002,11,,,,165
Ukraine,UKR,2002,12,19.9,9.3,,165
Ukraine,UKR,2003,1,,,,185
Ukraine,UKR,2003,2,,,,185
Ukraine,UKR,2003,3,19.97,9.4,,185
Ukraine,UKR,2003,4,,,,185
Ukraine,UKR,2003,5,,,,185
Ukraine,UKR,2003,6,20.46,8.7,,185
Ukraine,UKR,2003,7,,,,185
Ukraine,UKR,2003,8,,,,185
Ukraine,UKR,2003,9,20.12,9.1,,185
Ukraine,UKR,2003,10,,,,185
Ukraine,UKR,2003,11,,,,185
Ukraine,UKR,2003,12,20.1,9,,205
Ukraine,UKR,2004,1,,,,205
Ukraine,UKR,2004,2,,,,205
