Country,Code,Year,Month,Employment million people,Unemployment rate percent,Labor cost index,Minimum wage,Current account balance million currency units,Exports million currency units,Foreign exchange reserves billion currency units,Foreign direct investment million currency units,Government expenditure billion currency units,Budget balance million currency units,Sovereign credit ratings,Government bond 10-year yield percent,Government debt
Ukraine,UKR,1993,1,,,,,,,0.33,,,,,,
Ukraine,UKR,1993,2,,,,,,,0.46,,,,,,
Ukraine,UKR,1993,3,,,,,,,0.12,,,,,,
Ukraine,UKR,1993,4,,,,,,,0.1,,,,,,
Ukraine,UKR,1993,5,,,,,,,0.15,,,,,,
Ukraine,UKR,1993,6,,,,,,,0.13,,,,,,
Ukraine,UKR,1993,7,,,,,,,0.1,,,,,,
Ukraine,UKR,1993,8,,,,,,,0.12,,,,,,
Ukraine,UKR,1993,9,,,,,,,0.31,,,,,,
Ukraine,UKR,1993,10,,,,,,,0.33,,,,,,
Ukraine,UKR,1993,11,,,,,,,0.25,,,,,,
Ukraine,UKR,1993,12,,,,,,,0.17,,,,,,
Ukraine,UKR,1994,1,,,,,,,0.13,,,,,,
Ukraine,UKR,1994,2,,,,,,,0.05,,,,,,
Ukraine,UKR,1994,3,,,,,,,0.06,,,,,,
Ukraine,UKR,1994,4,,,,,,,0.06,,,,,,
Ukraine,UKR,1994,5,,,,,,,0.06,,,,,,
Ukraine,UKR,1994,6,,,,,,,0.06,,,,,,
Ukraine,UKR,1994,7,,,,,,,0.06,,,,,,
Ukraine,UKR,1994,8,,,,,,,0.09,,,,,,
Ukraine,UKR,1994,9,,,,,,,0.07,,,,,,
Ukraine,UKR,1994,10,,,,,,,0.26,,,,,,
Ukraine,UKR,1994,11,,,,,,,0.5,,,,,,
Ukraine,UKR,1994,12,,,,,,,0.66,,,,,,
Ukraine,UKR,1995,1,,,,,,,0.59,,,,,,
Ukraine,UKR,1995,2,,,,,,,0.63,,,,,,
Ukraine,UKR,1995,3,,,,,,,0.66,,,,,,
Ukraine,UKR,1995,4,,,,,,,1.08,,,,,,
Ukraine,UKR,1995,5,,,,,,,1.16,,,,,,
Ukraine,UKR,1995,6,,,,,,,1.6,,,,,,
