Country,Code,Year,Month,Money supply billion currency units,Consumer Price Index (CPI),Inflation monthly percent change in the CPI,Inflation annual percent change in the CPI,Private sector credit billion currency units,Business credit billion currency units,Household credit billion currency units,Mortgage credit billion currency units,Consumer credit billion currency units,Bank deposit interest rate percent,Business credit interest rate percent,Mortgage credit interest rate percent,Credit gap,Debt service ratios for private non-financial sector,Exchange rate USD
Ukraine,UKR,1992,1,,0,,,,,,,,,,,,,
Ukraine,UKR,1992,2,,0,15.3,,,,,,,,,,,,
Ukraine,UKR,1992,3,,0,12.1,,,,,,,,,,,,
Ukraine,UKR,1992,4,,0,7.6,,,,,,,,,,,,
Ukraine,UKR,1992,5,,0,14.4,,,,,,,,,,,,
Ukraine,UKR,1992,6,,0,26.5,,,,,,,,,,,,
Ukraine,UKR,1992,7,,0,22.1,,,,,,,,,,,,
Ukraine,UKR,1992,8,,0,8.3,,,,,,,,,,,,
Ukraine,UKR,1992,9,,0.01,10.6,,,,,,,,,,,,
Ukraine,UKR,1992,10,,0.01,12.4,,,,,,,,,,,,
Ukraine,UKR,1992,11,,0.01,22,,,,,,,,,,,,
Ukraine,UKR,1992,12,,0.01,35.1,,,,,,,,,,,,
Ukraine,UKR,1993,1,,0.02,73.2,844.48,,,,,,,,,,,
Ukraine,UKR,1993,2,,0.02,28.8,955.07,,,,,,,,,,,
Ukraine,UKR,1993,3,,0.03,22.1,1049.19,,,,,,,,,,,
Ukraine,UKR,1993,4,,0.03,23.6,1220.06,,,,,,,,,,,
Ukraine,UKR,1993,5,,0.04,27.6,1372.38,,,,,,,,,,,
Ukraine,UKR,1993,6,,0.07,71.7,1898.48,,,,,,,,,,,
Ukraine,UKR,1993,7,,0.1,37.6,2152.17,,,,,,,,,,,
Ukraine,UKR,1993,8,,0.12,21.7,2430.84,,,,,,,,,,,
Ukraine,UKR,1993,9,,0.21,80.3,4025.76,,,,,,,,,,,
Ukraine,UKR,1993,10,,0.35,66.1,5996.9,,,,,,,,,,,
Ukraine,UKR,1993,11,,0.5,45.3,7161.29,,,,,,,,,,,
Ukraine,UKR,1993,12,,0.96,90.8,10155.03,,,,,,,,,,,
Ukraine,UKR,1994,1,,1.15,19.2,6957.73,,,,,,,,,,,
Ukraine,UKR,1994,2,,1.29,12.6,6070.04,,,,,,,,,,,
Ukraine,UKR,1994,3,,1.36,5.7,5241.31,,,,,,,,,,,
Ukraine,UKR,1994,4,,1.45,6,4480.73,,,,,,,,,,,
Ukraine,UKR,1994,5,,1.52,5.2,3676.59,,,,,,,,,,,
Ukraine,UKR,1994,6,,1.58,3.9,2185.31,,,,,,,,,,,
Ukraine,UKR,1994,7,,1.61,2.1,1595.71,,,,,,,,,,,
Ukraine,UKR,1994,8,,1.66,2.6,1329.58,,,,,,,,,,,
Ukraine,UKR,1994,9,,1.78,7.3,750.77,,,,,,,,,,,
Ukraine,UKR,1994,10,,2.18,22.6,527.96,,,,,,,,,,,
Ukraine,UKR,1994,11,,3.75,72.3,644.65,,,,,,,,,,,
Ukraine,UKR,1994,12,,4.82,28.4,401.12,,,,,,,,,,,
Ukraine,UKR,1995,1,,5.84,21.2,409.53,,,,,,,,,,,
Ukraine,UKR,1995,2,,6.9,18.1,434.41,,,,,,,,,,,
Ukraine,UKR,1995,3,,7.69,11.4,463.23,,,,,,,,,,,
Ukraine,UKR,1995,4,,8.13,5.8,462.17,,,,,,,,,,,
